id,company,sector,subsector,name,gender,moneyall,tier,option
1,National Football League,Trade,Sports,Roger Goodell,male,44107000,top,<option value='bubble_1'>Roger Goodell</option>
2,U.S. Chamber of Commerce,Trade,General Business,Thomas J. Donohue,male,5452312,top,<option value='bubble_2'>Thomas J. Donohue</option>
3,National Association of Chain Drug Stores,Trade,Health,Steve Anderson,male,4589768,top,<option value='bubble_3'>Steve Anderson</option>
4,Edison Electric Institute,Trade,Energy,Thomas R. Kuhn,male,4003804,top,<option value='bubble_4'>Thomas R. Kuhn</option>
5,Institute of International Finance,Trade,"Banking, finance",Charles H. Dallara,male,3933180,top,<option value='bubble_5'>Charles H. Dallara</option>
6,Blue Cross and Blue Shield Association,Trade,Insurance,Scott Serota,male,3905943,top,<option value='bubble_6'>Scott Serota</option>
7,Airlines for America,Trade,Transportation Defense,Nicholas E. Calio,male,3596028,top,<option value='bubble_7'>Nicholas E. Calio</option>
8,American Petroleum Institute,Trade,Energy,Jack Gerard,male,3581316,top,<option value='bubble_8'>Jack Gerard</option>
9,Motion Picture Association of America,Trade,"Advertising, media, entertainment",Chris Dodd,male,3284530,top,<option value='bubble_9'>Chris Dodd</option>
10,National Cable and Telecommunications Association,Trade,"Communications, IT",Michael K. Powell,male,3004522,top,<option value='bubble_10'>Michael K. Powell</option>
11,ASAE,Prof,Professional,John H. Graham IV,male,2877106,top,<option value='bubble_11'>John H. Graham IV</option>
12,Securities Industry and Financial Markets Association,Trade,"Banking, finance","Timothy Ryan, Jr.",male,2846476,top,"<option value='bubble_12'>Timothy Ryan, Jr.</option>"
13,National Football League Players Association,Union,Labor Unions,Demaurice Smith,male,2738186,top,<option value='bubble_13'>Demaurice Smith</option>
14,Alzheimer's Association,Nonprofit,Public Interest Groups,Harry Johns,male,2731016,top,<option value='bubble_14'>Harry Johns</option>
15,Nuclear Energy Institute,Trade,Energy,Marvin S. Fertel,male,2633715,top,<option value='bubble_15'>Marvin S. Fertel</option>
16,Financial Industry Regulatory Authority,Trade,"Banking, finance",Richard G. Ketchum,male,2555454,top,<option value='bubble_16'>Richard G. Ketchum</option>
17,NACS„The Association for Convenience & Fuel Retailing,Trade,"Sales, Service",Henry O. Armour,male,2494522,top,<option value='bubble_17'>Henry O. Armour</option>
18,American Hospital Association,Trade,Health,Richard Umbdenstock,male,2455490,top,<option value='bubble_18'>Richard Umbdenstock</option>
19,American Chemistry Council,Trade,Manufacturing,Calvin M. Dooley,male,2358780,top,<option value='bubble_19'>Calvin M. Dooley</option>
20,National Association of Home Builders,Trade,Construction,Jerry M. Howard,male,2288633,top,<option value='bubble_20'>Jerry M. Howard</option>
21,Managed Funds Association,Trade,"Banking, finance",Richard H. Baker,male,2248916,top,<option value='bubble_21'>Richard H. Baker</option>
22,Association of American Railroads,Trade,Transportation Defense,Edward R. Hamberger,male,2221105,top,<option value='bubble_22'>Edward R. Hamberger</option>
23,Pharmaceutical Research and Manufacturers of America,Trade,Health,John Castellani,male,2172995,top,<option value='bubble_23'>John Castellani</option>
24,Business Roundtable,Trade,General Business,John Engler,male,2111546,top,<option value='bubble_24'>John Engler</option>
25,Healthcare Distribution Management Association,Trade,Health,John M. Gray,male,2062130,top,<option value='bubble_25'>John M. Gray</option>
26,Grocery Manufacturers Association,Trade,Food and Beverage,Pamela Bailey,female,2059413,top,<option value='bubble_26'>Pamela Bailey</option>
27,National Association of Manufacturers,Trade,Manufacturing,Jay Timmons,male,1998440,top,<option value='bubble_27'>Jay Timmons</option>
28,Investment Company Institute,Trade,"Banking, finance",Paul Schott Stevens,male,1911031,top,<option value='bubble_28'>Paul Schott Stevens</option>
29,National Rural Electric Cooperative Association,Trade,Energy,Glenn L. English,male,1888071,top,<option value='bubble_29'>Glenn L. English</option>
30,Consumer Electronics Association,Trade,"Communications, IT",Gary Shapiro,male,1876680,top,<option value='bubble_30'>Gary Shapiro</option>
31,Graduate Management Admission Council,Trade,"Education, Arts and Sciences",David A. Wilson,male,1874176,top,<option value='bubble_31'>David A. Wilson</option>
32,AdvaMed (Advanced Medical Technology Association),Trade,Health,Stephen J. Ubl,male,1810789,top,<option value='bubble_32'>Stephen J. Ubl</option>
33,International Swaps and Derivatives Association,Trade,"Banking, finance",Robert G. Pickel,male,1795000,top,<option value='bubble_33'>Robert G. Pickel</option>
34,Ad Council,Nonprofit,Public Interest Groups,Peggy Conlon,female,1788880,top,<option value='bubble_34'>Peggy Conlon</option>
35,American Bankers Association,Trade,"Banking, finance",Frank Keating,male,1763515,top,<option value='bubble_35'>Frank Keating</option>
36,National Association of Broadcasters,Trade,"Advertising, media, entertainment",Gordon Smith,male,1729576,top,<option value='bubble_36'>Gordon Smith</option>
