id,name,company,sector,njsector,gender,base,bonus,basebonus,salaryother,moneyall,tier,,option
1,Roger Goodell,National Football League,Trade,Sports,male,3500000,40364000,43864000,243000,44107000,top,,<option value='bubble_1'>Roger Goodell</option>
2,Thomas J. Donohue,U.S. Chamber of Commerce,Trade,General Business,male,1053312,4250000,5303312,149000,5452312,top,,<option value='bubble_2'>Thomas J. Donohue</option>
3,Steve Anderson,National Association of Chain Drug Stores,Trade,Health,male,1087818,453364,1541182,3048586,4589768,top,,<option value='bubble_3'>Steve Anderson</option>
4,Thomas R. Kuhn,Edison Electric Institute,Trade,Energy,male,850506,664643,1515149,2488655,4003804,top,,<option value='bubble_4'>Thomas R. Kuhn</option>
5,Charles H. Dallara,Institute of International Finance,Trade,"Banking, finance",male,1758989,2150000,3908989,24191,3933180,top,,<option value='bubble_5'>Charles H. Dallara</option>
6,Scott Serota,Blue Cross and Blue Shield Association,Trade,Insurance,male,955947,1937741,2893688,1012255,3905943,top,,<option value='bubble_6'>Scott Serota</option>
7,Nicholas E. Calio,Airlines for America,Trade,Transportation Defense,male,898216,2155250,3053466,542562,3596028,top,,<option value='bubble_7'>Nicholas E. Calio</option>
8,Jack Gerard,American Petroleum Institute,Trade,Energy,male,2434864,1000000,3434864,146452,3581316,top,,<option value='bubble_8'>Jack Gerard</option>
9,Chris Dodd,Motion Picture Association of America,Trade,"Advertising, media, entertainment",male,2992600,250000,3242600,41930,3284530,top,,<option value='bubble_9'>Chris Dodd</option>
10,Michael K. Powell,National Cable and Telecommunications Association,Trade,"Communications, IT",male,2547904,400000,2947904,56618,3004522,top,,<option value='bubble_10'>Michael K. Powell</option>
11,John H. Graham IV,ASAE,Prof,Professional,male,600187,146083,746270,2130836,2877106,top,,<option value='bubble_11'>John H. Graham IV</option>
12,"Timothy Ryan, Jr.",Securities Industry and Financial Markets Association,Trade,"Banking, finance",male,2510476,336000,2846476,0,2846476,top,,"<option value='bubble_12'>Timothy Ryan, Jr.</option>"
13,Demaurice Smith,National Football League Players Association,Union,Labor Unions,male,2727885,0,2727885,10301,2738186,top,,<option value='bubble_13'>Demaurice Smith</option>
14,Harry Johns,Alzheimer's Association,Nonprofit,Public Interest Groups,male,0,0,0,0,2731016,top,,<option value='bubble_14'>Harry Johns</option>
15,Marvin S. Fertel,Nuclear Energy Institute,Trade,Energy,male,969888,495000,1464888,1168827,2633715,top,,<option value='bubble_15'>Marvin S. Fertel</option>
16,Richard G. Ketchum,Financial Industry Regulatory Authority,Trade,"Banking, finance",male,978164,1250000,2228164,327290,2555454,top,,<option value='bubble_16'>Richard G. Ketchum</option>
17,Henry O. Armour,NACS:The Association for Convenience & Fuel Retailing,Trade,"Sales, Service",male,2494522,0,2494522,0,2494522,top,,<option value='bubble_17'>Henry O. Armour</option>
18,Richard Umbdenstock,American Hospital Association,Trade,Health,male,921246,92411,1013657,1441833,2455490,top,,<option value='bubble_18'>Richard Umbdenstock</option>
